#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      2.77e+01    1.60e+01      4.42e-01    1.78e-01      8.65e-01    5.02e-01    1.0e-03
   1000      1.03e+01    1.07e+01      1.49e-01    1.35e-01      3.24e-01    3.35e-01    1.0e-03
   2000      9.98e+00    9.05e+00      8.94e-04    7.38e-03      3.16e-01    2.86e-01    1.0e-03
   3000      1.00e+01    8.27e+00      6.38e-02    2.56e-02      3.16e-01    2.61e-01    1.0e-03
   4000      8.63e+00    9.52e+00      7.50e-02    6.27e-02      2.72e-01    3.00e-01    1.0e-03
   5000      8.11e+00    8.51e+00      6.20e-02    3.17e-02      2.56e-01    2.69e-01    1.0e-03
   6000      7.73e+00    8.47e+00      5.70e-02    7.97e-02      2.44e-01    2.67e-01    1.0e-03
   7000      1.00e+01    7.79e+00      5.48e-02    5.08e-02      3.17e-01    2.46e-01    1.0e-03
   8000      8.93e+00    8.15e+00      7.53e-02    7.42e-02      2.81e-01    2.57e-01    1.0e-03
   9000      9.42e+00    8.42e+00      1.92e-02    9.91e-03      2.98e-01    2.66e-01    1.0e-03
  10000      8.54e+00    1.05e+01      7.11e-02    1.63e-01      2.69e-01    3.29e-01    1.0e-03
  11000      8.53e+00    8.73e+00      3.43e-02    1.54e-01      2.70e-01    2.72e-01    1.0e-03
  12000      7.72e+00    8.06e+00      5.25e-02    2.16e-02      2.44e-01    2.55e-01    1.0e-03
  13000      7.79e+00    8.80e+00      4.94e-02    4.24e-02      2.46e-01    2.78e-01    1.0e-03
  14000      7.66e+00    9.17e+00      6.45e-03    1.26e-01      2.42e-01    2.87e-01    1.0e-03
  15000      9.01e+00    7.77e+00      1.32e-01    2.29e-02      2.82e-01    2.46e-01    1.0e-03
  16000      7.68e+00    7.57e+00      1.20e-01    6.37e-02      2.40e-01    2.39e-01    1.0e-03
  17000      7.98e+00    7.88e+00      4.72e-02    2.65e-02      2.52e-01    2.49e-01    1.0e-03
  18000      7.76e+00    7.99e+00      1.08e-01    1.29e-01      2.43e-01    2.49e-01    1.0e-03
  19000      8.15e+00    7.83e+00      6.72e-03    7.81e-02      2.58e-01    2.46e-01    1.0e-03
  20000      8.27e+00    8.73e+00      4.50e-02    6.65e-02      2.53e-01    2.41e-01    8.9e-04
  21000      7.36e+00    9.10e+00      1.54e-02    4.89e-02      2.43e-01    2.79e-01    8.9e-04
  22000      8.46e+00    7.92e+00      4.21e-02    4.21e-02      2.63e-01    2.44e-01    8.9e-04
  23000      7.91e+00    8.38e+00      3.19e-02    2.49e-03      2.53e-01    2.81e-01    8.9e-04
  24000      8.03e+00    8.81e+00      3.48e-02    4.68e-02      2.55e-01    2.71e-01    8.9e-04
  25000      7.50e+00    7.33e+00      7.20e-04    2.24e-04      2.51e-01    2.45e-01    8.9e-04
  26000      1.25e+01    8.04e+00      1.40e-01    4.31e-02      2.34e-01    2.47e-01    8.9e-04
  27000      9.18e+00    8.38e+00      5.52e-02    3.56e-02      2.75e-01    2.66e-01    8.9e-04
  28000      7.41e+00    7.62e+00      2.14e-02    3.06e-02      2.42e-01    2.43e-01    8.9e-04
  29000      7.16e+00    7.63e+00      1.35e-02    2.26e-02      2.37e-01    2.49e-01    8.9e-04
  30000      7.04e+00    8.11e+00      4.19e-03    6.23e-03      2.35e-01    2.71e-01    8.9e-04
  31000      7.37e+00    7.85e+00      7.48e-03    1.47e-02      2.46e-01    2.60e-01    8.9e-04
  32000      9.53e+00    8.29e+00      5.34e-02    8.24e-03      2.90e-01    2.77e-01    8.9e-04
  33000      8.05e+00    9.75e+00      5.17e-02    7.83e-02      2.37e-01    2.62e-01    8.9e-04
  34000      8.26e+00    9.73e+00      4.40e-02    7.43e-02      2.54e-01    2.68e-01    8.9e-04
  35000      7.73e+00    7.64e+00      2.30e-02    2.89e-02      2.52e-01    2.46e-01    8.9e-04
  36000      7.16e+00    7.76e+00      9.48e-03    2.28e-02      2.39e-01    2.54e-01    8.9e-04
  37000      9.04e+00    7.89e+00      8.05e-02    2.88e-02      2.27e-01    2.54e-01    8.9e-04
  38000      9.40e+00    9.12e+00      7.66e-02    3.99e-02      2.50e-01    2.89e-01    8.9e-04
  39000      7.12e+00    7.71e+00      1.69e-05    5.77e-03      2.38e-01    2.58e-01    8.9e-04
  40000      7.74e+00    8.01e+00      3.75e-02    2.81e-02      2.39e-01    2.65e-01    7.9e-04
  41000      7.64e+00    6.84e+00      1.45e-02    2.29e-03      2.66e-01    2.42e-01    7.9e-04
  42000      8.16e+00    7.74e+00      4.76e-02    1.82e-02      2.32e-01    2.66e-01    7.9e-04
  43000      8.88e+00    7.18e+00      4.63e-02    6.53e-03      2.67e-01    2.53e-01    7.9e-04
  44000      7.65e+00    8.56e+00      2.18e-02    3.62e-02      2.60e-01    2.74e-01    7.9e-04
  45000      7.28e+00    6.67e+00      2.65e-03    7.27e-03      2.58e-01    2.35e-01    7.9e-04
  46000      8.63e+00    8.84e+00      2.91e-02    3.76e-02      2.87e-01    2.82e-01    7.9e-04
  47000      7.38e+00    6.73e+00      2.45e-04    1.53e-02      2.62e-01    2.32e-01    7.9e-04
  48000      9.71e+00    7.18e+00      6.14e-02    1.47e-02      2.63e-01    2.49e-01    7.9e-04
  49000      6.86e+00    8.30e+00      4.66e-03    5.56e-04      2.43e-01    2.94e-01    7.9e-04
  50000      7.84e+00    7.96e+00      1.78e-02    2.65e-02      2.70e-01    2.66e-01    7.9e-04
  51000      8.04e+00    9.54e+00      3.89e-02    6.39e-02      2.48e-01    2.48e-01    7.9e-04
  52000      8.65e+00    7.27e+00      3.71e-02    2.39e-02      2.76e-01    2.43e-01    7.9e-04
  53000      8.41e+00    8.03e+00      2.58e-02    3.69e-02      2.83e-01    2.51e-01    7.9e-04
  54000      7.28e+00    6.88e+00      1.19e-02    2.36e-02      2.54e-01    2.28e-01    7.9e-04
  55000      7.28e+00    7.56e+00      1.20e-02    3.12e-02      2.54e-01    2.43e-01    7.9e-04
  56000      7.26e+00    7.66e+00      1.29e-03    7.44e-03      2.57e-01    2.70e-01    7.9e-04
  57000      1.20e+01    7.67e+00      9.46e-02    3.51e-02      2.55e-01    2.40e-01    7.9e-04
  58000      7.71e+00    6.51e+00      4.22e-02    1.25e-02      2.27e-01    2.26e-01    7.9e-04
  59000      7.84e+00    7.30e+00      2.93e-02    1.30e-02      2.57e-01    2.54e-01    7.9e-04
  60000      7.09e+00    7.58e+00      2.51e-02    1.24e-02      2.40e-01    2.79e-01    7.1e-04
  61000      7.46e+00    6.74e+00      1.30e-02    7.51e-03      2.73e-01    2.50e-01    7.1e-04
  62000      8.73e+00    8.51e+00      4.08e-02    4.05e-02      2.70e-01    2.61e-01    7.1e-04
  63000      6.26e+00    7.47e+00      1.46e-02    1.09e-02      2.25e-01    2.76e-01    7.1e-04
  64000      6.46e+00    7.21e+00      5.18e-03    2.91e-02      2.41e-01    2.36e-01    7.1e-04
  65000      6.23e+00    6.81e+00      7.58e-03    1.57e-03      2.31e-01    2.55e-01    7.1e-04
  66000      6.02e+00    7.70e+00      2.69e-03    2.50e-02      2.25e-01    2.65e-01    7.1e-04
  67000      6.44e+00    7.08e+00      4.38e-03    1.98e-02      2.41e-01    2.50e-01    7.1e-04
  68000      7.73e+00    7.73e+00      1.50e-02    2.69e-02      2.82e-01    2.63e-01    7.1e-04
  69000      1.08e+01    6.85e+00      6.55e-02    1.98e-02      2.76e-01    2.41e-01    7.1e-04
  70000      9.20e+00    8.55e+00      5.10e-02    3.84e-02      2.56e-01    2.69e-01    7.1e-04
  71000      9.54e+00    6.69e+00      5.66e-02    7.54e-03      2.49e-01    2.49e-01    7.1e-04
  72000      6.69e+00    7.91e+00      2.17e-02    3.10e-02      2.31e-01    2.61e-01    7.1e-04
  73000      6.75e+00    6.24e+00      1.86e-02    8.49e-03      2.38e-01    2.31e-01    7.1e-04
  74000      5.82e+00    7.10e+00      8.91e-03    1.97e-02      2.15e-01    2.51e-01    7.1e-04
