#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      2.47e+01    1.66e+01      6.77e-01    4.79e-01      7.52e-01    5.02e-01    1.0e-03
   1000      1.32e+01    1.10e+01      4.84e-02    2.69e-01      4.16e-01    3.36e-01    1.0e-03
   2000      1.43e+01    1.25e+01      1.17e-01    5.80e-02      4.47e-01    3.94e-01    1.0e-03
   3000      9.97e+00    1.29e+01      3.21e-03    3.01e-01      3.15e-01    3.82e-01    1.0e-03
   4000      1.01e+01    1.09e+01      9.34e-02    1.02e-01      3.17e-01    3.42e-01    1.0e-03
   5000      5.93e+00    9.85e+00      1.35e-01    1.81e-01      1.77e-01    3.06e-01    1.0e-03
   6000      8.33e+00    1.00e+01      1.44e-01    1.17e-01      2.60e-01    3.15e-01    1.0e-03
   7000      5.79e+00    9.09e+00      3.87e-02    5.19e-02      1.82e-01    2.87e-01    1.0e-03
   8000      8.41e+00    8.89e+00      1.66e-02    1.15e-01      2.66e-01    2.79e-01    1.0e-03
   9000      8.42e+00    8.37e+00      2.95e-02    2.01e-03      2.66e-01    2.65e-01    1.0e-03
  10000      8.27e+00    4.50e+00      1.27e-01    5.62e-02      2.59e-01    1.40e-01    1.0e-03
  11000      3.82e+00    8.26e+00      2.03e-02    8.46e-02      1.20e-01    2.60e-01    1.0e-03
  12000      4.88e+00    7.92e+00      1.45e-01    1.04e-01      1.39e-01    2.46e-01    1.0e-03
  13000      7.13e+00    8.45e+00      2.69e-02    2.65e-02      2.25e-01    2.67e-01    1.0e-03
  14000      7.44e+00    8.07e+00      1.32e-01    7.50e-02      2.32e-01    2.53e-01    1.0e-03
  15000      7.59e+00    7.89e+00      1.22e-01    1.45e-01      2.37e-01    2.45e-01    1.0e-03
  16000      8.59e+00    7.87e+00      1.37e-01    8.27e-03      2.68e-01    2.49e-01    1.0e-03
  17000      7.76e+00    7.62e+00      3.09e-03    1.21e-03      2.45e-01    2.41e-01    1.0e-03
  18000      8.14e+00    8.15e+00      1.04e-01    1.15e-01      2.55e-01    2.55e-01    1.0e-03
  19000      7.42e+00    7.72e+00      3.63e-02    1.05e-01      2.34e-01    2.42e-01    1.0e-03
  20000      1.23e+01    7.87e+00      1.08e-01    1.80e-02      1.22e-01    2.60e-01    8.9e-04
  21000      7.75e+00    8.15e+00      9.36e-03    3.85e-02      2.58e-01    2.55e-01    8.9e-04
  22000      8.11e+00    3.82e+00      1.53e-02    1.58e-02      2.69e-01    1.14e-01    8.9e-04
  23000      8.39e+00    7.62e+00      2.67e-02    3.44e-02      2.73e-01    2.40e-01    8.9e-04
  24000      8.35e+00    7.87e+00      6.18e-03    4.93e-02      2.79e-01    2.33e-01    8.9e-04
  25000      6.92e+00    7.72e+00      5.44e-03    1.21e-02      2.31e-01    2.54e-01    8.9e-04
  26000      8.29e+00    4.85e+00      3.46e-02    2.12e-02      2.64e-01    1.43e-01    8.9e-04
  27000      7.74e+00    8.17e+00      5.93e-02    1.74e-02      1.42e-01    2.70e-01    8.9e-04
  28000      7.14e+00    7.60e+00      1.61e-02    7.26e-04      2.36e-01    2.54e-01    8.9e-04
  29000      8.94e+00    7.97e+00      5.17e-02    1.53e-02      2.32e-01    2.64e-01    8.9e-04
  30000      9.76e+00    4.93e+00      7.79e-02    1.90e-02      2.63e-01    1.50e-01    8.9e-04
  31000      3.87e+00    6.52e+00      4.05e-03    1.18e-03      1.29e-01    2.18e-01    8.9e-04
  32000      7.85e+00    7.73e+00      4.47e-02    1.13e-02      2.06e-01    2.57e-01    8.9e-04
  33000      6.75e+00    9.24e+00      6.91e-03    4.59e-02      2.25e-01    2.88e-01    8.9e-04
  34000      7.84e+00    7.60e+00      3.21e-02    3.34e-02      2.50e-01    2.40e-01    8.9e-04
  35000      3.97e+00    7.61e+00      1.33e-02    6.94e-03      1.24e-01    2.54e-01    8.9e-04
  36000      8.81e+00    7.55e+00      6.05e-02    3.25e-02      2.54e-01    2.40e-01    8.9e-04
  37000      5.30e+00    5.27e+00      3.85e-02    3.05e-02      1.08e-01    1.37e-01    8.9e-04
  38000      7.05e+00    7.49e+00      5.03e-02    4.88e-02      1.48e-01    1.76e-01    8.9e-04
  39000      8.62e+00    9.09e+00      4.12e-02    4.90e-02      2.70e-01    2.79e-01    8.9e-04
  40000      4.16e+00    7.11e+00      1.73e-03    1.43e-02      1.47e-01    2.47e-01    7.9e-04
  41000      7.95e+00    8.16e+00      1.48e-02    1.00e-02      2.76e-01    2.87e-01    7.9e-04
  42000      7.13e+00    6.39e+00      3.80e-03    4.85e-04      2.52e-01    2.26e-01    7.9e-04
  43000      6.86e+00    7.55e+00      4.05e-03    2.52e-03      2.43e-01    2.67e-01    7.9e-04
  44000      6.54e+00    9.87e+00      2.88e-03    8.36e-03      2.31e-01    3.48e-01    7.9e-04
  45000      7.49e+00    8.95e+00      1.52e-02    1.52e-02      2.60e-01    3.12e-01    7.9e-04
  46000      7.13e+00    6.38e+00      3.26e-02    9.72e-03      2.24e-01    2.20e-01    7.9e-04
  47000      4.50e+00    8.50e+00      1.58e-02    2.99e-02      1.36e-01    2.81e-01    7.9e-04
  48000      8.35e+00    4.21e+00      1.28e-03    7.17e-03      2.96e-01    1.44e-01    7.9e-04
  49000      8.15e+00    8.13e+00      4.37e-02    3.19e-02      2.42e-01    2.64e-01    7.9e-04
  50000      7.12e+00    7.96e+00      4.20e-02    3.12e-02      1.18e-01    2.29e-01    7.9e-04
  51000      7.57e+00    4.84e+00      1.32e-02    6.37e-03      2.64e-01    1.68e-01    7.9e-04
  52000      7.47e+00    7.47e+00      1.23e-02    1.49e-02      2.57e-01    2.59e-01    7.9e-04
  53000      5.60e+00    1.26e+01      5.62e-03    4.95e-02      1.96e-01    4.09e-01    7.9e-04
  54000      6.90e+00    7.52e+00      1.70e-02    1.38e-02      2.37e-01    2.62e-01    7.9e-04
  55000      7.45e+00    8.86e+00      3.10e-02    3.86e-02      2.06e-01    2.81e-01    7.9e-04
  56000      7.52e+00    7.80e+00      8.74e-04    9.33e-03      2.67e-01    2.74e-01    7.9e-04
  57000      6.93e+00    7.78e+00      1.65e-02    3.08e-02      2.30e-01    2.52e-01    7.9e-04
  58000      1.06e+01    7.64e+00      6.85e-02    2.34e-02      2.83e-01    2.57e-01    7.9e-04
  59000      7.31e+00    7.12e+00      2.17e-02    2.64e-02      2.47e-01    2.10e-01    7.9e-04
  60000      8.69e+00    3.31e+00      4.45e-02    5.51e-03      2.56e-01    1.19e-01    7.1e-04
  61000      6.60e+00    5.61e+00      6.08e-03    2.28e-03      2.44e-01    2.10e-01    7.1e-04
  62000      3.30e+00    5.74e+00      6.74e-03    2.24e-03      1.15e-01    2.15e-01    7.1e-04
  63000      7.98e+00    6.88e+00      1.80e-02    6.01e-03      2.88e-01    2.57e-01    7.1e-04
  64000      6.57e+00    8.25e+00      1.95e-03    2.31e-02      2.46e-01    2.91e-01    7.1e-04
  65000      5.34e+00    4.04e+00      9.02e-03    1.16e-03      1.91e-01    1.51e-01    7.1e-04
