#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      3.65e+01    4.49e+01      1.64e-01    9.95e-03      1.15e+00    1.42e+00    1.0e-03
   1000      5.91e+00    8.49e+00      1.52e-02    1.73e-02      1.87e-01    2.68e-01    1.0e-03
   2000      5.90e+00    1.05e+01      2.05e-02    5.29e-03      1.86e-01    3.32e-01    1.0e-03
   3000      4.55e+00    7.41e+00      2.47e-02    3.51e-02      1.43e-01    2.34e-01    1.0e-03
   4000      3.71e+00    6.37e+00      1.04e-01    9.08e-02      1.07e-01    1.97e-01    1.0e-03
   5000      3.62e+00    3.99e+00      6.32e-03    2.24e-02      1.14e-01    1.26e-01    1.0e-03
   6000      6.08e+00    6.90e+00      4.06e-02    2.86e-02      1.91e-01    2.18e-01    1.0e-03
   7000      4.16e+00    8.24e+00      5.61e-03    1.66e-02      1.31e-01    2.61e-01    1.0e-03
   8000      3.55e+00    3.30e+00      1.35e-02    8.15e-03      1.12e-01    1.04e-01    1.0e-03
   9000      3.87e+00    5.44e+00      4.87e-02    6.60e-02      1.20e-01    1.69e-01    1.0e-03
  10000      5.36e+00    2.58e+00      2.88e-02    3.93e-02      1.69e-01    7.95e-02    1.0e-03
  11000      4.24e+00    4.15e+00      2.57e-02    1.86e-03      1.34e-01    1.31e-01    1.0e-03
  12000      3.50e+00    6.18e+00      7.20e-02    8.75e-02      1.06e-01    1.91e-01    1.0e-03
  13000      4.12e+00    4.21e+00      3.69e-02    1.48e-02      1.29e-01    1.33e-01    1.0e-03
  14000      3.46e+00    2.71e+00      2.47e-02    2.66e-02      1.09e-01    8.49e-02    1.0e-03
  15000      6.45e+00    6.36e+00      3.14e-02    3.89e-02      2.04e-01    2.00e-01    1.0e-03
  16000      2.98e+00    4.22e+00      1.80e-02    2.32e-02      9.37e-02    1.33e-01    1.0e-03
  17000      7.46e+00    3.42e+00      5.08e-02    3.23e-03      2.35e-01    1.08e-01    1.0e-03
  18000      2.68e+00    2.46e+00      3.17e-02    2.65e-02      8.33e-02    7.67e-02    1.0e-03
  19000      5.20e+00    5.49e+00      7.37e-03    1.60e-02      1.64e-01    1.74e-01    1.0e-03
